period,age,reported_claims,incurred_severity,paid_to_incurred,incremental_incurred_severity
2013,123,19561.0,1328.3111,0.9927,
2013,135,19561.0,1330.9507,0.9928,
2013,147,19561.0,1331.7125,0.9933,
2013,159,19561.0,1322.0992,1.0,
2014,15,19889.0,768.9757,0.2079,768.9757
2014,27,20029.0,1174.3867,0.3883,58768.8194
2014,39,20058.0,1547.7609,0.523,259420.5345
2014,51,20069.0,1644.2769,0.7586,177636.9555
2014,63,20075.0,1682.6063,0.8315,129887.88
2014,75,20078.0,1628.6108,0.9294,-359690.8
2014,87,20080.0,1617.3886,0.9399,-111042.62
2014,99,20081.0,1609.443,0.9481,-157937.81
2014,111,20081.0,1611.2743,0.95,
2014,123,20081.0,1595.9402,0.9975,
2014,135,20081.0,1596.1891,0.9975,
2014,147,20081.0,1596.1891,0.9976,0.0
2015,15,21621.0,745.0931,0.243,745.0931
2015,27,21724.0,1226.9997,0.3782,102385.2748
2015,39,21755.0,1698.9945,0.4821,332460.8042
2015,51,21764.0,1852.9196,0.7098,373924.0667
2015,63,21769.0,1807.6638,0.8905,-195182.0
2015,75,21770.0,1816.0888,0.9382,185219.59
2015,87,21771.0,1821.1159,0.948,111261.8
2015,99,21772.0,1868.4836,0.9496,1033110.71
2015,111,21772.0,1865.132,0.9592,
2015,123,21774.0,1864.6457,0.964,-3429.23
2015,135,21774.0,1855.9954,0.9989,
2016,15,22516.0,1099.9208,0.2272,1099.9208
2016,27,22663.0,1530.147,0.3997,67427.9335
2016,39,22687.0,1991.1097,0.576,437274.2879
2016,51,22696.0,1844.4454,0.828,-367863.6378
2016,63,22698.0,1912.7455,0.8966,776982.765
2016,75,22698.0,2012.7155,0.9356,
2016,87,22698.0,2020.8564,0.9743,
2016,99,22698.0,2025.8535,0.9827,
2016,111,22699.0,2024.561,1.0,-27311.7
2016,123,22699.0,2024.774,1.0,
2017,15,24564.0,1026.7926,0.1805,1026.7926
2017,27,24688.0,1673.5823,0.4103,129800.5458
2017,39,24774.0,2083.9762,0.6103,119895.6578
2017,51,24779.0,2196.8095,0.7361,561262.902
2017,63,24787.0,2329.4706,0.7911,413230.8375
2017,75,24789.0,2322.2588,0.9039,-87057.785
2017,87,24789.0,2304.9803,0.9402,
2017,99,24789.0,2289.9781,0.9741,
2017,111,24791.0,2268.131,0.9923,-268515.775
2018,15,24719.0,1059.2023,0.2615,1059.2023
2018,27,24834.0,1600.0658,0.4152,117857.5103
2018,39,24872.0,2191.3762,0.5491,388628.275
2018,51,24883.0,2469.9187,0.6894,632279.75
2018,63,24888.0,2715.5317,0.7554,1225033.536
2018,75,24888.0,2788.2929,0.9118,
2018,87,24890.0,2860.2447,0.9228,898228.545
2018,99,24890.0,2860.8521,0.937,
2019,15,22287.0,867.8758,0.2847,867.8758
2019,27,22390.0,1567.1834,0.3888,152882.4051
2019,39,22429.0,2225.1561,0.5324,379968.9544
2019,51,22439.0,2372.4866,0.7047,332820.053
2019,63,22443.0,2386.563,0.8639,81351.475
2019,75,22446.0,2436.5651,0.9177,376502.3533
2019,87,22449.0,2427.5905,0.967,-64720.1
2020,15,19738.0,1037.625,0.2273,1037.625
2020,27,19818.0,1702.7765,0.3407,165812.2769
2020,39,19851.0,2478.009,0.4549,468040.3764
2020,51,19870.0,2750.6912,0.7023,287646.1484
2020,63,19878.0,3019.9509,0.84,671793.8238
2020,75,19884.0,2998.0252,0.9359,-69642.015
2021,15,18555.0,1131.4956,0.2475,1131.4956
2021,27,18653.0,1870.4917,0.3686,141789.5901
2021,39,18675.0,2694.9228,0.5515,701700.0441
2021,51,18688.0,3100.5729,0.7171,585832.66
2021,63,18693.0,3281.1072,0.846,678045.864
2022,15,19326.0,1193.1754,0.252,1193.1754
2022,27,19487.0,2358.4665,0.4173,142236.8168
2022,39,19507.0,3598.7475,0.5811,1212066.547
2022,51,19523.0,4243.7058,0.705,790568.8644
2023,15,20693.0,1434.7958,0.2482,1434.7958
2023,27,20835.0,2828.7813,0.3903,205967.8132
2023,39,20892.0,4330.8011,0.6186,553358.5382
2024,15,21772.0,1617.9821,0.2948,1617.9821
2024,27,21953.0,3161.4353,0.4184,188819.2395
2025,15,24839.0,2218.1855,0.2656,2218.1855
