period,age,value,measure,unit_type,source,details,prior_age,ldf,weight,interval
2001,71,2402988.1558,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0677,2250668.8524,59-71
2001,83,2397333.5643,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,0.9976,2402988.1558,71-83
2001,95,2419690.9269,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0093,2397333.5643,83-95
2001,107,2437307.5869,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0073,2419690.9269,95-107
2001,119,2457834.4795,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0084,2437307.5869,107-119
2001,131,2510536.374,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0214,2457834.4795,119-131
2001,143,2562761.5102,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,131,1.0208,2510536.374,131-143
2001,155,2559991.01,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,143,0.9989,2562761.5102,143-155
2001,167,2618542.6253,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,155,1.0229,2559991.01,155-167
2001,179,2663167.8948,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,167,1.017,2618542.6253,167-179
2001,191,2804776.81,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,179,1.0532,2663167.8948,179-191
2001,203,2871037.8848,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,191,1.0236,2804776.81,191-203
2001,215,2959799.1689,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,203,1.0309,2871037.8848,203-215
2001,227,3012996.3884,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,215,1.018,2959799.1689,215-227
2001,239,3012996.3884,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,227,1.0,3012996.3884,227-239
2001,251,3083594.9884,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,239,1.0234,3012996.3884,239-251
2001,263,3126481.9884,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,251,1.0139,3083594.9884,251-263
2001,275,3126481.9884,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,263,1.0,3126481.9884,263-275
2001,287,3163773.6997,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,275,1.0119,3126481.9884,275-287
2002,11,927838.4716,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2002,23,1327207.494,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.4304,927838.4716,11-23
2002,35,1342822.3208,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.0118,1327207.494,23-35
2002,47,1604244.318,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.1947,1342822.3208,35-47
2002,59,1625395.9885,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.0132,1604244.318,47-59
2002,71,1727293.4023,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0627,1625395.9885,59-71
2002,83,1760101.2711,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.019,1727293.4023,71-83
2002,95,1760466.7343,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0002,1760101.2711,83-95
2002,107,1799039.5397,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0219,1760466.7343,95-107
2002,119,1816376.1146,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0096,1799039.5397,107-119
2002,131,1835002.2026,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0103,1816376.1146,119-131
2002,143,1897241.704,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,131,1.0339,1835002.2026,131-143
2002,155,1899757.6006,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,143,1.0013,1897241.704,143-155
2002,167,1975947.9264,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,155,1.0401,1899757.6006,155-167
2002,179,2028039.1364,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,167,1.0264,1975947.9264,167-179
2002,191,2057884.5296,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,179,1.0147,2028039.1364,179-191
2002,203,2166744.7601,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,191,1.0529,2057884.5296,191-203
2002,215,2169205.7481,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,203,1.0011,2166744.7601,203-215
2002,227,2169205.7481,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,215,1.0,2169205.7481,215-227
2002,239,2261092.7687,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,227,1.0424,2169205.7481,227-239
2002,251,2247056.6453,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,239,0.9938,2261092.7687,239-251
2002,263,2327733.7563,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,251,1.0359,2247056.6453,251-263
2002,275,2327733.7563,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,263,1.0,2327733.7563,263-275
2003,11,1009363.3596,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2003,23,1458693.7576,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.4452,1009363.3596,11-23
2003,35,1578930.4312,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.0824,1458693.7576,23-35
2003,47,1876931.173,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.1887,1578930.4312,35-47
2003,59,1703633.0403,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,0.9077,1876931.173,47-59
2003,71,1819224.3524,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0678,1703633.0403,59-71
2003,83,1814195.5019,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,0.9972,1819224.3524,71-83
2003,95,1800500.416,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,0.9925,1814195.5019,83-95
2003,107,1797139.9227,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,0.9981,1800500.416,95-107
2003,119,1801084.8669,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0022,1797139.9227,107-119
2003,131,1797322.9116,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,0.9979,1801084.8669,119-131
2003,143,1783419.2233,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,131,0.9923,1797322.9116,131-143
2003,155,1774330.2012,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,143,0.9949,1783419.2233,143-155
2003,167,1774330.1088,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,155,1.0,1774330.2012,155-167
2003,179,1774330.1088,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,167,1.0,1774330.1088,167-179
2003,191,1774330.1088,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,179,1.0,1774330.1088,179-191
2003,203,1778091.5758,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,191,1.0021,1774330.1088,191-203
2003,215,1778091.5758,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,203,1.0,1778091.5758,203-215
2003,227,1778091.5758,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,215,1.0,1778091.5758,215-227
2003,239,1778091.5758,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,227,1.0,1778091.5758,227-239
2003,251,1778091.5758,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,239,1.0,1778091.5758,239-251
2003,263,1778091.5758,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,251,1.0,1778091.5758,251-263
2004,11,706990.2156,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2004,23,807081.8756,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.1416,706990.2156,11-23
2004,35,891146.7297,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.1042,807081.8756,23-35
2004,47,933370.1028,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.0474,891146.7297,35-47
2004,59,1055143.9785,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.1305,933370.1028,47-59
2004,71,1061000.4688,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0056,1055143.9785,59-71
2004,83,1080582.0132,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.0185,1061000.4688,71-83
2004,95,1088885.0684,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0077,1080582.0132,83-95
2004,107,1114748.9381,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0238,1088885.0684,95-107
2004,119,1104800.7904,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,0.9911,1114748.9381,107-119
2004,131,1130298.0224,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0231,1104800.7904,119-131
2004,143,1117525.6932,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,131,0.9887,1130298.0224,131-143
2004,155,1117975.6768,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,143,1.0004,1117525.6932,143-155
2004,167,1118300.2984,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,155,1.0003,1117975.6768,155-167
2004,179,1118299.6782,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,167,1.0,1118300.2984,167-179
2004,191,1122581.0808,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,179,1.0038,1118299.6782,179-191
2004,203,1122581.0808,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,191,1.0,1122581.0808,191-203
2004,215,1122581.0808,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,203,1.0,1122581.0808,203-215
2004,227,1122581.0808,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,215,1.0,1122581.0808,215-227
2004,239,1122614.7306,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,227,1.0,1122581.0808,227-239
2004,251,1122614.7306,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,239,1.0,1122614.7306,239-251
2005,11,1249691.5508,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2005,23,1628221.9514,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.3029,1249691.5508,11-23
2005,35,1779408.0616,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.0929,1628221.9514,23-35
2005,47,1735781.5973,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,0.9755,1779408.0616,35-47
2005,59,1800284.1468,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.0372,1735781.5973,47-59
2005,71,1829678.4347,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0163,1800284.1468,59-71
2005,83,1866913.7991,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.0204,1829678.4347,71-83
2005,95,1877458.5247,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0056,1866913.7991,83-95
2005,107,1901705.9108,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0129,1877458.5247,95-107
2005,119,1953626.9848,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0273,1901705.9108,107-119
2005,131,1976524.5916,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0117,1953626.9848,119-131
2005,143,2212537.6908,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,131,1.1194,1976524.5916,131-143
2005,155,2212549.5672,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,143,1.0,2212537.6908,143-155
2005,167,2171748.9472,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,155,0.9816,2212549.5672,155-167
2005,179,2193366.7399,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,167,1.01,2171748.9472,167-179
2005,191,2208705.4536,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,179,1.007,2193366.7399,179-191
2005,203,2242149.1321,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,191,1.0151,2208705.4536,191-203
2005,215,2242149.1321,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,203,1.0,2242149.1321,203-215
2005,227,2242149.1321,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,215,1.0,2242149.1321,215-227
2005,239,2242149.1321,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,227,1.0,2242149.1321,227-239
2006,11,765985.3353,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2006,23,1158099.949,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.5119,765985.3353,11-23
2006,35,1006637.0924,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,0.8692,1158099.949,23-35
2006,47,1076536.2516,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.0694,1006637.0924,35-47
2006,59,1086240.5108,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.009,1076536.2516,47-59
2006,71,1141033.2455,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0504,1086240.5108,59-71
2006,83,1191316.1021,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.0441,1141033.2455,71-83
2006,95,1169378.0556,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,0.9816,1191316.1021,83-95
2006,107,1199839.2137,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.026,1169378.0556,95-107
2006,119,1244365.6452,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0371,1199839.2137,107-119
2006,131,1347851.3164,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0832,1244365.6452,119-131
2006,143,1428877.3956,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,131,1.0601,1347851.3164,131-143
2006,155,1468194.3366,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,143,1.0275,1428877.3956,143-155
2006,167,1484004.1739,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,155,1.0108,1468194.3366,155-167
2006,179,1484861.9139,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,167,1.0006,1484004.1739,167-179
2006,191,1502016.7139,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,179,1.0116,1484861.9139,179-191
2006,203,1506635.3139,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,191,1.0031,1502016.7139,191-203
2006,215,1517636.7927,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,203,1.0073,1506635.3139,203-215
2006,227,1517636.7927,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,215,1.0,1517636.7927,215-227
2007,11,1724656.8811,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2007,23,1877762.5606,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.0888,1724656.8811,11-23
2007,35,2045106.7768,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.0891,1877762.5606,23-35
2007,47,2291428.8419,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.1204,2045106.7768,35-47
2007,59,2554191.4604,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.1147,2291428.8419,47-59
2007,71,3049073.7774,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.1938,2554191.4604,59-71
2007,83,3243034.4444,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.0636,3049073.7774,71-83
2007,95,3598222.0844,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.1095,3243034.4444,83-95
2007,107,3855992.6032,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0716,3598222.0844,95-107
2007,119,4247900.6072,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.1016,3855992.6032,107-119
2007,131,4378240.1384,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0307,4247900.6072,119-131
2007,143,4504737.6146,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,131,1.0289,4378240.1384,131-143
2007,155,4577330.1566,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,143,1.0161,4504737.6146,143-155
2007,167,4581600.0523,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,155,1.0009,4577330.1566,155-167
2007,179,4781468.7005,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,167,1.0436,4581600.0523,167-179
2007,191,4781468.7005,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,179,1.0,4781468.7005,179-191
2007,203,4798643.3473,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,191,1.0036,4781468.7005,191-203
2007,215,4810774.6148,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,203,1.0025,4798643.3473,203-215
2008,11,556352.8875,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2008,23,770915.0442,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,1.3857,556352.8875,11-23
2008,35,933165.8683,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,1.2105,770915.0442,23-35
2008,47,1298006.7782,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.391,933165.8683,35-47
2008,59,1258119.1102,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,0.9693,1298006.7782,47-59
2008,71,1279315.2512,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0168,1258119.1102,59-71
2008,83,1286243.9166,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.0054,1279315.2512,71-83
2008,95,1303173.6192,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,83,1.0132,1286243.9166,83-95
2008,107,1310621.4416,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,95,1.0057,1303173.6192,95-107
2008,119,1356059.2284,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,107,1.0347,1310621.4416,107-119
2008,131,1362732.0233,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,119,1.0049,1356059.2284,119-131
2008,143,1362957.0151,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,131,1.0002,1362732.0233,131-143
2008,155,1343109.2414,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,143,0.9854,1362957.0151,143-155
2008,167,1343439.1414,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,155,1.0002,1343109.2414,155-167
2008,179,1343439.1414,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,167,1.0,1343439.1414,167-179
2008,191,1350037.1414,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,179,1.0049,1343439.1414,179-191
2008,203,1378427.9395,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,191,1.021,1350037.1414,191-203
2009,11,357480.3922,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,,,,
2009,23,872537.4534,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,11,2.4408,357480.3922,11-23
2009,35,822240.0416,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,23,0.9424,872537.4534,23-35
2009,47,842753.923,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,35,1.0249,822240.0416,35-47
2009,59,898761.0856,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,47,1.0665,842753.923,47-59
2009,71,944889.6302,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,59,1.0513,898761.0856,59-71
2009,83,979272.5208,Incurred Loss,Dollars,Inc 1 / ../raw-data/Triangle Examples 1.xlsx,,71,1.0364,944889.6302,71-83
