period,age,value,measure,unit_type,source,details
2020,36,26322577.59,Incurred Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Incurred,Example incurred data
2020,48,31532412.62,Incurred Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Incurred,Example incurred data
2020,60,34927144.1,Incurred Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Incurred,Example incurred data
2021,12,18975774.37,Incurred Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Incurred,Example incurred data
2021,24,35129945.95,Incurred Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Incurred,Example incurred data
2021,36,46173829.48,Incurred Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Incurred,Example incurred data
2021,48,55221806.45,Incurred Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Incurred,Example incurred data
2022,12,11283551.76,Incurred Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Incurred,Example incurred data
2022,24,20133767.67,Incurred Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Incurred,Example incurred data
2022,36,27042042.17,Incurred Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Incurred,Example incurred data
2023,12,12074753.07,Incurred Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Incurred,Example incurred data
2023,24,21336027.8,Incurred Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Incurred,Example incurred data
2024,12,15929923.89,Incurred Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Incurred,Example incurred data
2015,12,9247456.85,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2015,24,16887332.41,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2015,36,23000568.52,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2015,48,27802345.87,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2015,60,31644816.08,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2015,72,35019498.12,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2015,84,38226728.69,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2015,96,40633312.56,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2015,108,43136150.42,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2015,120,45008437.67,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2016,12,12224783.55,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2016,24,23009582.96,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2016,36,31462133.59,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2016,48,38324866.26,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2016,60,44020225.53,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2016,72,48826739.91,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2016,84,52977179.82,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2016,96,56150430.55,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2016,108,59267698.34,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2017,12,7651942.92,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2017,24,14311315.83,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2017,36,19921863.9,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2017,48,24002300.82,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2017,60,27560045.44,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2017,72,30585360.38,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2017,84,33007872.54,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2017,96,34907742.22,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2018,12,12066429.1,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2018,24,22556335.54,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2018,36,31035721.7,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2018,48,37766430.75,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2018,60,43524051.37,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2018,72,48248010.04,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2018,84,52422359.54,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2019,12,10064764.9,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2019,24,18121547.35,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2019,36,24840287.38,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2019,48,29715356.63,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2019,60,34177567.56,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2019,72,37924647.52,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2020,12,8963797.6,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2020,24,15917604.49,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2020,36,22113680.02,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2020,48,26981140.69,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2020,60,30760499.66,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2021,12,15964354.24,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2021,24,28485180.18,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2021,36,38015718.95,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2021,48,46187014.54,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2022,12,8984185.12,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2022,24,16619561.77,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2022,36,23102956.85,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2023,12,9774276.12,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2023,24,17919593.72,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2024,12,13261356.27,Paid Loss,Dollars,../raw-data/canonical-triangles.xlsx - Sheet: Paid,Example paid data
2015,12,1638.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2015,24,2677.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2015,36,3472.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2015,48,4077.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2015,60,4526.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2015,72,4730.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2015,84,4831.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2015,96,4883.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2015,108,4930.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2015,120,4930.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2016,12,1636.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2016,24,2723.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2016,36,3474.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2016,48,4156.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2016,60,4555.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2016,72,4743.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2016,84,4846.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2016,96,4894.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2016,108,4943.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2017,12,1624.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2017,24,2682.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2017,36,3477.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2017,48,4114.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2017,60,4516.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2017,72,4713.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2017,84,4812.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2017,96,4864.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2018,12,1697.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2018,24,2736.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2018,36,3560.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2018,48,4204.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2018,60,4592.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2018,72,4773.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2018,84,4886.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2019,12,1559.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2019,24,2687.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2019,36,3545.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2019,48,4166.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2019,60,4570.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2019,72,4767.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2020,12,1624.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2020,24,2750.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2020,36,3494.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2020,48,4155.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2020,60,4597.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2021,12,1636.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2021,24,2748.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2021,36,3579.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2021,48,4301.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2022,12,1720.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2022,24,2783.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2022,36,3568.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2023,12,1568.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2023,24,2665.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2024,12,1712.0,Reported Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Reported,Example reported data
2015,12,1361.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2015,24,2246.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2015,36,2896.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2015,48,3549.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2015,60,4015.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2015,72,4347.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2015,84,4594.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2015,96,4741.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2015,108,4883.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2015,120,4931.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2016,12,1290.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2016,24,2196.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2016,36,2900.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2016,48,3535.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2016,60,4011.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2016,72,4343.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2016,84,4594.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2016,96,4739.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2016,108,4888.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2017,12,1354.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2017,24,2138.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2017,36,2842.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2017,48,3450.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2017,60,3935.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2017,72,4287.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2017,84,4550.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2017,96,4704.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2018,12,1413.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2018,24,2292.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2018,36,2995.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2018,48,3589.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2018,60,4049.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2018,72,4399.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2018,84,4672.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2019,12,1386.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2019,24,2251.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2019,36,2927.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2019,48,3525.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2019,60,4000.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2019,72,4355.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2020,12,1389.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2020,24,2338.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2020,36,3006.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2020,48,3554.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2020,60,4018.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2021,12,1559.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2021,24,2502.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2021,36,3232.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2021,48,3810.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2022,12,1565.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2022,24,2418.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2022,36,3118.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2023,12,1318.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2023,24,2214.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2024,12,1306.0,Closed Count,Count,../raw-data/canonical-triangles.xlsx - Sheet: Closed,Example closed data
2015,12,2960.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2015,24,3890.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2015,36,4350.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2015,48,4443.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2015,60,4501.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2015,72,4512.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2015,84,4512.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2015,96,4512.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2015,108,4512.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2015,120,4512.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2016,12,2870.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2016,24,3666.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2016,36,4209.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2016,48,4355.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2016,60,4435.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2016,72,4440.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2016,84,4440.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2016,96,4440.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2016,108,4440.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2017,12,2560.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2017,24,3445.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2017,36,3898.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2017,48,4050.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2017,60,4116.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2017,72,4128.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2017,84,4128.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2017,96,4128.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2018,12,2390.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2018,24,3110.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2018,36,3552.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2018,48,3659.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
2018,60,3732.0,Exposure,Count,../raw-data/canonical-triangles.xlsx - Sheet: Exposure,Exposure data
